MPC,MPC SIZE,"Net Amount no VAT (Ret, 445)","Qty sold (Ret, 445)",On hand Qty,In transit Qty,445 Year,445 Month,445 Week,Date YYYYMMDD,Transaction ID,Min Sale Date (Ret),Country,Store,Gender (code),Comm. Category SubGroup,Comm. Category Group,Comm. Category,Comm. SubCategory,Operative Brand,Group,Style (code),Fabric (code),Color (code),Color,Fabric,Theme (code),Current Sale Season (code),Size (code),MFO/EOS,MD DATE,CURRENT MD STATUS,MD %,SEASON DROP
10194601A140555W050,10194601A140555W050@L,296.25,1,,0,FY2026,06,22,20250825,17666641,8/25/2025,USA,OUTLET NY Woodbury,M,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1019460,1A14055,5W050,White+Gold,JERSEY FABRIC WITH BAROQUE LEAFY PRINT,MFO,2024PE,L,MFO,20250926,MD,30%,SS24 MFO Main Drop 2
10150701A122406N24V,10150701A122406N24V@UNICA,403.12,1,,0,FY2026,06,22,20250825,17666646,8/25/2025,USA,OUTLET Chicago Fashion,F,SLG,Accessories,SLG,POUCH,Versace Accessories,MEDUSA 95,1015070,1A12240,6N24V,Brown+Moka-Versace Gold,CALF LEATHER,*,2024AI,UNICA,EOS,20250605,MD,50%,#N/A
10118611A140532B900,10118611A140532B900@L,-262.5,-1,,0,FY2026,06,22,20250825,17666647,8/25/2025,USA,OUTLET San Marcos Premium,M,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1011861,1A14053,2B900,Black+Silver,COMMTO JERSEY + VERSACE AND GREEK MEDUSA PRINT,MFO,2025PE,L,MFO,,FP,,ACT SS25 GAZE
10164111A010191B000,10164111A010191B000@44,2246.25,1,,0,FY2026,06,22,20250825,17666649,8/25/2025,USA,OUTLET Miami Sawgrass,F,RTW,Ready to Wear,EVENING DRESS,GOWN,Versace Apparel,-missing description-,1016411,1A01019,1B000,Black,CADY SILK FABRIC,*,2024AI,44,EOS,,FP,,FW24 DTO - Sent FY26
10139061A097961UI20,10139061A097961UI20@6XL,506.25,1,,0,FY2026,06,22,20250825,17666650,8/25/2025,USA,OUTLET Las Vegas North Premium,M,RTW,Ready to Wear,JERSEY,POLO,Versace Apparel,-missing description-,1013906,1A09796,1UI20,Navy Blue,BAROCCO JACQUARD PIQUET FABRIC,*,2025PE,6XL,EOS,,FP,,SS25 DTO - Jun 25 Drop
10118611A120702W020,10118611A120702W020@L,281.25,1,,0,FY2026,06,22,20250825,17666651,8/25/2025,USA,OUTLET Orlando Vineland Premium,M,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1011861,1A12070,2W020,White+Black,JERSEY FABRIC + VERSACE OUTLINE EMBROIDERY,MFO,2025PE,L,MFO,,FP,,ACT SS25 GAZE
10147471A141481P56V,10147471A141481P56V@385,393.75,1,,0,FY2026,06,22,20250825,17666652,8/25/2025,USA,OUTLET Las Vegas North Premium,F,SHOES,Accessories,SHOES,MULE/SANDALS,Versace Accessories,ICON,1014747,1A14148,1P56V,Baby Pink-Versace Gold,FABRIC,MFO,2024AI,385,MFO,20250827,MD,30%,FW24 MFO Main Drop 0
10167681A075241LE30,10167681A075241LE30@48,345,1,,0,FY2026,06,22,20250825,17666655,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,RTW,Ready to Wear,JERSEY,SWEATSHIRT,Versace Apparel,-missing description-,1016768,1A07524,1LE30,Lavander,JACQUARD TOWEL STITCH FABRIC WITH EMBOSSED VERSACE,MFO,2024PE,48,MFO,20250926,MD,30%,SS24 MFO Flash Drop 3
10192511A011742EH40,10192511A011742EH40@46,237,1,,0,FY2026,06,22,20250825,17666655,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,RTW,Ready to Wear,JERSEY,SWEATSHIRT,Versace Apparel,-missing description-,1019251,1A01174,2EH40,Gray Melange+Pale Pink,SWEATSHIRT FABRIC WITH BRANDING,MFO,2024PE,46,MFO,20250926,MD,30%,SS24 MFO Main Drop 1
10192511A011742P450,10192511A011742P450@40,237,1,,0,FY2026,06,22,20250825,17666655,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,RTW,Ready to Wear,JERSEY,SWEATSHIRT,Versace Apparel,-missing description-,1019251,1A01174,2P450,Pink+White,SWEATSHIRT FABRIC WITH BRANDING,MFO,2024PE,40,MFO,20250926,MD,30%,SS24 MFO Main Drop 1
10206711A150635P110,10206711A150635P110@42,345,1,,0,FY2026,06,22,20250825,17666655,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,RTW,Ready to Wear,JERSEY,SWEATSHIRT,Versace Apparel,-missing description-,1020671,1A15063,5P110,Pink+White,FELPA VERSACE ON REPEAT,MFO,2024PE,42,MFO,20250926,MD,50%,SS24 MFO Flash Drop 3
10206711A150635P110,10206711A150635P110@50,345,1,1,0,FY2026,06,22,20250825,17666655,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,RTW,Ready to Wear,JERSEY,SWEATSHIRT,Versace Apparel,-missing description-,1020671,1A15063,5P110,Pink+White,FELPA VERSACE ON REPEAT,MFO,2024PE,50,MFO,20250926,MD,50%,SS24 MFO Flash Drop 3
10102591A120362VE30,10102591A120362VE30@42,237,1,,0,FY2026,06,22,20250825,17666655,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1010259,1A12036,2VE30,Pastel Blue+White,COTTON JERSEY FABRIC LOGO PRINT,MFO,2024PE,42,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10102591A120362VE30,10102591A120362VE30@46,237,1,,0,FY2026,06,22,20250825,17666655,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1010259,1A12036,2VE30,Pastel Blue+White,COTTON JERSEY FABRIC LOGO PRINT,MFO,2024PE,46,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10183511A092665X340,10183511A092665X340@48,285,1,,0,FY2026,06,22,20250825,17666655,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,RTW,Ready to Wear,PANTS,LEGGINGS,Versace Apparel,-missing description-,1018351,1A09266,5X340,Glacier Green+Black+Gold,BAROCCODILE PN PRINT LYCRA FABRIC,MFO,2024PE,48,MFO,20250926,MD,50%,SS24 MFO Flash Drop 3
R740010R100MLSRNUL,R740010R100MLSRNUL@TU,120,1,10,0,FY2026,06,22,20250825,17666655,8/25/2025,USA,OUTLET Orlando Vineland Premium,M,LICENSES,Licenses,FRAGRANCES,FRAGRANCES,Versace Perfumes,-missing description-,R740010,R100MLS,RNUL,NUL,100 ML SPRAY,*,*,TU,EOS,,FP,,FP Licenses -BTQS + OUTLETS
10087731A006384J750,10087731A006384J750@25,187.5,1,,0,FY2026,06,22,20250825,17666656,8/25/2025,USA,OUTLET LA Cabazon,X,FASHION JEWELRY,Accessories,FASHION JEWELRY,RING,Versace Accessories,ICON,1008773,1A00638,4J750,Palladium-Black,METAL+ENAMEL,MFO,2024AI,25,MFO,,FP,,SS24 MFO Main Drop 2
1008100DVIT2T1PK4V,1008100DVIT2T1PK4V@UNICA,551.25,1,,0,FY2026,06,22,20250825,17666657,8/25/2025,USA,OUTLET Miami Sawgrass,F,BAGS,Accessories,BAGS,CLUTCH/EVENING,Versace Accessories,LA MEDUSA,1008100,DVIT2T,1PK4V,Pink Paradise-  Versace Gold,CALF LEATHER,MFO,2024PE,UNICA,MFO,20250926,MD,50%,SS24 MFO Main Drop 1
10087711A006203J000,10087711A006203J000@UNICA,221.25,1,40,0,FY2026,06,22,20250825,17666657,8/25/2025,USA,OUTLET Miami Sawgrass,X,FASHION JEWELRY,Accessories,FASHION JEWELRY,EARRINGS,Versace Accessories,LA MEDUSA,1008771,1A00620,3J000,Versace Gold,METAL,MFO,2024AI,UNICA,MFO,,FP,,ACT FW24 GAZE - OUT FOR SS25
10028751A021551B00V,10028751A021551B00V@UNICA,543.75,1,4,0,FY2026,06,22,20250825,17666658,8/25/2025,USA,OUTLET Chicago Fashion,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON NYLON,1002875,1A02155,1B00V,Black-Versace Gold,FABRIC+CALF+ENAMEL HW,MFO,2024AI,UNICA,MFO,,FP,,ACT FW24 GAZE - OUT FOR SS25
ZACJ00008ZCOSP052Z4584,ZACJ00008ZCOSP052Z4584@S,550,1,2,0,FY2026,06,22,20250825,17666659,8/25/2025,USA,OUTLET Miami Sawgrass,X,HOME,Home,TEXTILE,TEXTILE,Versace Home,-missing description-,ZACJ00008,ZCOSP052,Z4584,Fuxia,TESSUTO SPUGNA COTONE,*,2026PE,S,EOS,,FP,,FP Robes & Slippers
10122961A006214J050,10122961A006214J050@L,183.75,1,,0,FY2026,06,22,20250825,17666660,8/25/2025,USA,OUTLET Houston Premium,X,FASHION JEWELRY,Accessories,FASHION JEWELRY,BRACELET,Versace Accessories,MEDUSA CRYSTAL,1012296,1A00621,4J050,Versace Gold-Fuchsia,METAL+STRASS,MFO,2024PE,L,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10102591A120362P450,10102591A120362P450@42,395,1,,0,FY2026,06,22,20250825,17666661,8/25/2025,USA,OUTLET Camarillo Premium,F,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1010259,1A12036,2P450,Pink+White,COTTON JERSEY FABRIC LOGO PRINT,MFO,2024PE,42,MFO,20250926,MD,30%,SS24 MFO Main Drop 2
10102591A120362VE30,10102591A120362VE30@44,237,1,1,0,FY2026,06,22,20250825,17666661,8/25/2025,USA,OUTLET Camarillo Premium,F,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1010259,1A12036,2VE30,Pastel Blue+White,COTTON JERSEY FABRIC LOGO PRINT,MFO,2024PE,44,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10113311A091202W020,10113311A091202W020@44,412.5,1,,0,FY2026,06,22,20250825,17666661,8/25/2025,USA,OUTLET Camarillo Premium,F,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1011331,1A09120,2W020,White+Black,JERSEY FABRIC SERIES VERSACE LOGO EMBROIDERY '80S,*,2024AI,44,EOS,20250827,MD,20%,FW24 EOS - July 25 Drop
10145661A140542W010,10145661A140542W010@42,395,1,2,0,FY2026,06,22,20250825,17666661,8/25/2025,USA,OUTLET Camarillo Premium,F,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,1014566,1A14054,2W010,Optical White + Medium Grey,COTTON JERSEY FABRIC WITH MEDUSA RHINESTONE EMBROIDERY + STUDS,MFO,2024PE,42,MFO,,FP,,Prev Gaze (SS24 or older)
10192371A042375P950,10192371A042375P950@42,520,1,,0,FY2026,06,22,20250825,17666661,8/25/2025,USA,OUTLET Camarillo Premium,F,RTW,Ready to Wear,SHIRT,INFORMAL SHIRT,Versace Apparel,-missing description-,1019237,1A04237,5P950,Pale Pink,BAROQUE HERITAGE PRINT TWILL POLY FABRIC,MFO,2024PE,42,MFO,20250926,MD,30%,SS24 MFO Main Drop 2
10008291A101415U940,10008291A101415U940@44,253.12,1,,0,FY2026,06,22,20250825,17666661,8/25/2025,USA,OUTLET Camarillo Premium,F,RTW,Ready to Wear,SKIRT,SKIRT,Versace Apparel,-missing description-,1000829,1A10141,5U940,Pale Blue,SILK TWILL FABRIC BAROQUE PRINT 92,*,2024PE,44,EOS,20250701,MD,70%,#N/A
A89500S1A140502BI10,A89500S1A140502BI10@L,275,1,1,0,FY2026,06,22,20250825,17666661,8/25/2025,USA,OUTLET Camarillo Premium,M,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,A89500S,1A14050,2BI10,Black+Gold,COMMTO JERSEY + MEDUSA EMBROIDERY,MFO,2025PE,L,MFO,,FP,,ACT SS25 GAZE
A89500S1A140502BI10,A89500S1A140502BI10@S,275,1,2,0,FY2026,06,22,20250825,17666661,8/25/2025,USA,OUTLET Camarillo Premium,M,RTW,Ready to Wear,JERSEY,T-SHIRT,Versace Apparel,-missing description-,A89500S,1A14050,2BI10,Black+Gold,COMMTO JERSEY + MEDUSA EMBROIDERY,MFO,2025PE,S,MFO,,FP,,ACT SS25 GAZE
ZSL000002ZPL00011Z1008,ZSL000002ZPL00011Z1008@37,84.37,1,,0,FY2026,06,22,20250825,17666663,8/25/2025,USA,OUTLET North Georgia Premium,X,HOME,Home,TEXTILE,TEXTILE,Versace Home,-missing description-,ZSL000002,ZPL00011,Z1008,Black,ECOPELLICCIA PELO CORTO  PL,HH2,2022PE,37,EOS,20250827,MD,60%,EOS Home - Sent FY26
10124441A021951U280,10124441A021951U280@390,236.25,1,,0,FY2026,06,22,20250825,17666769,8/25/2025,USA,OUTLET Wrentham,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,MEDUSA HEAD,1012444,1A02195,1U280,Royal Blue,CALF,MFO,2024PE,390,MFO,20250926,MD,50%,SS24 MFO Flash Drop 3
10016001A100025BC10,10016001A100025BC10@UNIC,243.75,1,4,0,FY2026,06,22,20250825,17666770,8/25/2025,USA,OUTLET Houston Premium,X,SILK & OTHER ACC,Accessories,SILK OTHER ACC,FOULARD,Versace Silk Accessories,-missing description-,1001600,1A10002,5BC10,Black,BAROCCO 92 PRINTED BIO SILK TWILL,*,2025PE,UNIC,EOS,,FP,,SS25 DTO - Jun 25 Drop
1001609A232415A702,1001609A232415A702@8,110,1,,0,FY2026,06,22,20250825,17666773,8/25/2025,USA,OUTLET NY Woodbury,M,RTW,Ready to Wear,BEACHWEAR,SWIMSUIT,Versace Underwear and Beachwear,-missing description-,1001609,A232415,A702,orange-gold,TESSUTO POLY GOLFO-PD  TAIANA,*,2024PE,8,EOS,20250827,MD,70%,SS24 EOS - Sept 24 Drop
O4384BOGB18754ONUL,O4384BOGB18754ONUL@TU,249,1,15,0,FY2026,06,22,20250825,17666774,8/25/2025,USA,OUTLET Miami Sawgrass,F,LICENSES,Licenses,SUNGLASSES,SUNGLASSES,Versace Glasses,-missing description-,O4384B,OGB18754,ONUL,NUL,BLACK,*,*,TU,EOS,,FP,,SS24 EOS - HOME/LIC
10103251A092622BL4V,10103251A092622BL4V@085,318.75,1,3,0,FY2026,06,22,20250825,17666774,8/25/2025,USA,OUTLET Miami Sawgrass,M,BELT,Accessories,BELT,BELT,Versace Accessories,LA MEDUSA,1010325,1A09262,2BL4V,Black+Taupe-Versace Gold,CALF LEATHER+CALF LEATHER,MFO,2025PE,085,MFO,,FP,,ACT SS25 GAZE
R510032R090MLSRNUL,R510032R090MLSRNUL@TU,128,1,6,0,FY2026,06,22,20250825,17666777,8/25/2025,USA,OUTLET Miami Sawgrass,F,LICENSES,Licenses,FRAGRANCES,FRAGRANCES,Versace Perfumes,-missing description-,R510032,R090MLS,RNUL,NUL,90 ML SPRAY,*,*,TU,EOS,,FP,,FP Licenses -BTQS + OUTLETS
10122921A006214J090,10122921A006214J090@UNICA,243.75,1,1,0,FY2026,06,22,20250825,17666779,8/25/2025,USA,OUTLET Miami Sawgrass,X,FASHION JEWELRY,Accessories,FASHION JEWELRY,NECKLACE,Versace Accessories,MEDUSA CRYSTAL,1012292,1A00621,4J090,Versace Gold-Crystal,METAL+STRASS,MFO,2025PE,UNICA,MFO,,FP,,ACT SS25 GAZE
10145031A140172B020,10145031A140172B020@44,862.5,1,,0,FY2026,06,22,20250825,17666780,8/25/2025,USA,OUTLET San Marcos Premium,F,RTW,Ready to Wear,OUTERWEAR,BLOUSON,Versace Apparel,-missing description-,1014503,1A14017,2B020,Black+White,PLAIN VISCOSE FABRIC + LOGO EMBROIDERY,MFO,2024PE,44,MFO,20250926,MD,50%,SS24 MFO Main Drop 1
10147351A100801B00V,10147351A100801B00V@390,-396,-1,1,0,FY2026,06,22,20250825,17666781,8/25/2025,USA,OUTLET Wrentham,F,SHOES,Accessories,SHOES,MULE/SANDALS,Versace Accessories,TRIBUTE,1014735,1A10080,1B00V,Black-Versace Gold,CALF LEATHER,MFO,2024AI,390,MFO,,FP,,Prev Gaze (SS24 or older)
10147351A100801B00V,10147351A100801B00V@410,396,1,3,0,FY2026,06,22,20250825,17666781,8/25/2025,USA,OUTLET Wrentham,F,SHOES,Accessories,SHOES,MULE/SANDALS,Versace Accessories,TRIBUTE,1014735,1A10080,1B00V,Black-Versace Gold,CALF LEATHER,MFO,2024AI,410,MFO,,FP,,Prev Gaze (SS24 or older)
10133771A104581W010,10133771A104581W010@400,219.37,1,3,0,FY2026,06,22,20250825,17666782,8/25/2025,USA,OUTLET Miami Sawgrass,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,NEW BASKET,1013377,1A10458,1W010,White,CALF LEATHER+FABRIC,MFO,2024PE,400,MFO,20250926,MD,50%,Prev Gaze (SS24 or older)
10122921A006214J090,10122921A006214J090@UNICA,243.75,1,1,0,FY2026,06,22,20250825,17666801,8/25/2025,USA,OUTLET Miami Sawgrass,X,FASHION JEWELRY,Accessories,FASHION JEWELRY,NECKLACE,Versace Accessories,MEDUSA CRYSTAL,1012292,1A00621,4J090,Versace Gold-Crystal,METAL+STRASS,MFO,2025PE,UNICA,MFO,,FP,,ACT SS25 GAZE
R702032R100MLSRNUL,R702032R100MLSRNUL@TU,148,1,9,0,FY2026,06,22,20250825,17666804,8/25/2025,USA,OUTLET NY Woodbury,F,LICENSES,Licenses,FRAGRANCES,FRAGRANCES,Versace Perfumes,-missing description-,R702032,R100MLS,RNUL,NUL,100 ML SPRAY,*,*,TU,EOS,,FP,,FP Licenses -BTQS + OUTLETS
R702132R100MLSRNUL,R702132R100MLSRNUL@TU,120,1,20,0,FY2026,06,22,20250825,17666804,8/25/2025,USA,OUTLET NY Woodbury,F,LICENSES,Licenses,FRAGRANCES,FRAGRANCES,Versace Perfumes,-missing description-,R702132,R100MLS,RNUL,NUL,100 ML SPRAY,*,*,TU,EOS,,FP,,FP Licenses -BTQS + OUTLETS
10192231A039121B00V,10192231A039121B00V@UNICA,446.25,1,4,0,FY2026,06,22,20250825,17666805,8/25/2025,USA,OUTLET NY Woodbury,F,SLG,Accessories,SLG,POUCH,Versace Accessories,ICON,1019223,1A03912,1B00V,Black-Versace Gold,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2024AI,UNICA,MFO,,FP,,SS24 MFO Main Drop 1
DG54672SDMT13J000,DG54672SDMT13J000@19,84.37,1,,0,FY2026,06,22,20250825,17666807,8/25/2025,USA,OUTLET Orlando Vineland Premium,X,FASHION JEWELRY,Accessories,FASHION JEWELRY,RING,Versace Accessories,GRECA,DG54672S,DMT1,3J000,Versace Gold,METAL,MFO,2025PE,19,MFO,20250926,MD,60%,Prev Gaze (SS24 or older)
10133531A039121B00P,10133531A039121B00P@UNICA,472.31,1,,0,FY2026,06,22,20250825,17666817,8/25/2025,Canada,OUTLET Halton Hills,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1013353,1A03912,1B00P,Black-Palladium,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2024PE,UNICA,MFO,20250926,MD,50%,Prev Gaze (SS24 or older)
10155411A159111P56V,10155411A159111P56V@UNICA,637.5,1,7,0,FY2026,06,22,20250825,17666826,8/25/2025,USA,OUTLET Houston Premium,F,BAGS,Accessories,BAGS,CLUTCH/EVENING,Versace Accessories,ICON,1015541,1A15911,1P56V,Baby Pink-Versace Gold,FABRIC+LAMB LEATHER,MFO,2024AI,UNICA,MFO,20250827,MD,20%,FW24 MFO Main Drop 0
10103251A092622BL4V,10103251A092622BL4V@095,318.75,1,2,0,FY2026,06,22,20250825,17666828,8/25/2025,USA,OUTLET San Marcos Premium,M,BELT,Accessories,BELT,BELT,Versace Accessories,LA MEDUSA,1010325,1A09262,2BL4V,Black+Taupe-Versace Gold,CALF LEATHER+CALF LEATHER,MFO,2025PE,095,MFO,,FP,,ACT SS25 GAZE
O4442O54106955ONUL,O4442O54106955ONUL@TU,249,1,,0,FY2026,06,22,20250825,17666829,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,LICENSES,Licenses,SUNGLASSES,SUNGLASSES,Versace Glasses,-missing description-,O4442,O54106955,ONUL,NUL,OPAL RED,*,*,TU,EOS,,FP,,Unconfirmed Licenses - Alexa to confirm
10146131A105011PV4V,10146131A105011PV4V@375,412.5,1,,0,FY2026,06,22,20250825,17666830,8/25/2025,USA,OUTLET Miami Sawgrass,F,SHOES,Accessories,SHOES,MULE/SANDALS,Versace Accessories,TRIBUTE,1014613,1A10501,1PV4V,Soft Pink-Versace Gold,CROC CALF LEATHER,MFO,2024PE,375,MFO,20250926,MD,50%,SS24 MFO Flash Drop 3
10147351A100141E56V,10147351A100141E56V@370,-412.5,-1,2,0,FY2026,06,22,20250825,17666830,8/25/2025,USA,OUTLET Miami Sawgrass,F,SHOES,Accessories,SHOES,MULE/SANDALS,Versace Accessories,TRIBUTE,1014735,1A10014,1E56V,Silver-Versace Gold,CALF LAMINATED CROCO,MFO,2024AI,370,MFO,,FP,,FW24 MFO Main Drop 1
N15505N403736N1933,N15505N403736N1933@TU,150,1,3,0,FY2026,06,22,20250825,17666831,8/25/2025,USA,OUTLET Orlando Vineland Premium,X,HOME,Home,TABLEWARE,TABLEWARE,Versace Porcelain and Crystalware,-missing description-,N15505,N403736,N1933,FORMA 1933,VIRTUS ALPHABET F,*,*,TU,EOS,,FP,,SS24/FW24 EOS Home & Licenses - Sent FY26
10133521A039121B00V,10133521A039121B00V@UNICA,768.75,1,20,0,FY2026,06,22,20250825,17666833,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1013352,1A03912,1B00V,Black-Versace Gold,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2025PE,UNICA,MFO,,FP,,ACT SS25 GAZE
10030161A105261PT2V,10030161A105261PT2V@UNICA,-862.5,-1,1,0,FY2026,06,22,20250825,17666833,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,BAGS,Accessories,BAGS,TOP HANDLE,Versace Accessories,LA MEDUSA,1003016,1A10526,1PT2V,Dusty Rose-Oro Versace,CALF LEATHER,*,2024AI,UNICA,EOS,,FP,,FW24 EOS - July 25 Drop
10169361A120221B00V,10169361A120221B00V@400,281.25,1,2,0,FY2026,06,22,20250825,17666833,8/25/2025,USA,OUTLET Orlando Vineland Premium,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,MEDUSA TWIST,1016936,1A12022,1B00V,Black-Versace Gold,CALF LEATHER,MFO,2025PE,400,MFO,,FP,,ACT SS25 GAZE
10133521A039121W00V,10133521A039121W00V@UNICA,731.25,1,36,0,FY2026,06,22,20250825,17666834,8/25/2025,USA,OUTLET Miami Sawgrass,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1013352,1A03912,1W00V,Optical White-Versace Gold,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2025PE,UNICA,MFO,,FP,,FW24 MFO Main Drop 1
O4434OGB18754ONUL,O4434OGB18754ONUL@TU,216.43,1,6,0,FY2026,06,22,20250825,17666836,8/25/2025,Canada,OUTLET Vancouver,F,LICENSES,Licenses,SUNGLASSES,SUNGLASSES,Versace Glasses,-missing description-,O4434,OGB18754,ONUL,NUL,BLACK,*,*,TU,EOS,,FP,,SS24 EOS - HOME/LIC
10147481A086631W00V,10147481A086631W00V@350,356.25,1,2,0,FY2026,06,22,20250825,17666837,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,SHOES,Accessories,SHOES,MULE/SANDALS,Versace Accessories,ICON,1014748,1A08663,1W00V,Optical White-Versace Gold,CALF LEATHER+METAL HW,MFO,2024PE,350,MFO,,FP,,SS24 MFO Main Drop 1
O4328OGB111ONUL,O4328OGB111ONUL@TU,149.4,1,6,0,FY2026,06,22,20250825,17666886,8/25/2025,USA,OUTLET NY Woodbury,F,LICENSES,Licenses,SUNGLASSES,SUNGLASSES,Versace Glasses,-missing description-,O4328,OGB111,ONUL,NUL,COL.GB111,*,*,TU,EOS,20241115,MD,40%,"EOS Licenses for OUTL -AGED, SLOWSELLERS OUTL"
10133531A039121B00P,10133531A039121B00P@UNICA,492.75,1,,0,FY2026,06,22,20250825,17666888,8/25/2025,USA,OUTLET Orlando Vineland Premium,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1013353,1A03912,1B00P,Black-Palladium,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2024PE,UNICA,MFO,20250926,MD,50%,Prev Gaze (SS24 or older)
1015533DVIT2T1B00V,1015533DVIT2T1B00V@UNICA,656.25,1,8,0,FY2026,06,22,20250825,17666893,8/25/2025,USA,OUTLET NY Woodbury,F,BAGS,Accessories,BAGS,TOTE,Versace Accessories,LA MEDUSA,1015533,DVIT2T,1B00V,Black-Versace Gold,CALF LEATHER,MFO,2024AI,UNICA,MFO,,FP,,ACT FW24 GAZE - OUT FOR SS25
1012884DVITT81B00V,1012884DVITT81B00V@085,262.5,1,,0,FY2026,06,22,20250825,17666893,8/25/2025,USA,OUTLET NY Woodbury,F,BELT,Accessories,BELT,BELT,Versace Accessories,ICON,1012884,DVITT8,1B00V,Black-Versace Gold,CALF LEATHER,MFO,2025PE,085,MFO,,FP,,ACT SS25 GAZE
10192281A020871B00V,10192281A020871B00V@380,412.5,1,5,0,FY2026,06,22,20250825,17666893,8/25/2025,USA,OUTLET NY Woodbury,F,SHOES,Accessories,SHOES,PUMP/SLINGBACKS,Versace Accessories,LA MEDUSA,1019228,1A02087,1B00V,Black-Versace Gold,CALF LEATHER,MFO,2025PE,380,MFO,,FP,,ACT SS25 GAZE
10119421A120576WD90,10119421A120576WD90@430,223.12,1,,0,FY2026,06,22,20250825,17666937,8/25/2025,USA,OUTLET Miami Sawgrass,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,RUNNER,1011942,1A12057,6WD90,White+White+Gold,CALF LEATHER+SUEDE+FABRICS,MFO,2024PE,430,MFO,20250926,MD,60%,Prev Gaze (SS24 or older)
ZSLPM0002ZCOP0124Z7011,ZSLPM0002ZCOP0124Z7011@41,71.4,1,,0,FY2026,06,22,20250825,17666938,8/25/2025,USA,OUTLET San Marcos Premium,M,HOME,Home,TEXTILE,TEXTILE,Versace Home,-missing description-,ZSLPM0002,ZCOP0124,Z7011,Black-gold,TESSUTO COTONE ST. BAROCCO & ROBE,HC2,*,41,EOS,20250529,MD,70%,#N/A
ZSLPM0002ZCOP0124Z7011,ZSLPM0002ZCOP0124Z7011@43,71.4,1,,0,FY2026,06,22,20250825,17666938,8/25/2025,USA,OUTLET San Marcos Premium,M,HOME,Home,TEXTILE,TEXTILE,Versace Home,-missing description-,ZSLPM0002,ZCOP0124,Z7011,Black-gold,TESSUTO COTONE ST. BAROCCO & ROBE,HC2,*,43,EOS,20250529,MD,70%,#N/A
ZACJ00008ZCOSP052Z4882,ZACJ00008ZCOSP052Z4882@XXL,165,1,,0,FY2026,06,22,20250825,17666938,8/25/2025,USA,OUTLET San Marcos Premium,X,HOME,Home,TEXTILE,TEXTILE,Versace Home,-missing description-,ZACJ00008,ZCOSP052,Z4882,capri blue,TESSUTO SPUGNA COTONE,*,2025PE,XXL,EOS,20250814,MD,70%,Capri Robe on MD
ZCU4545011A054145B040,ZCU4545011A054145B040@UNIC,900,2,,3,FY2026,06,22,20250825,17666939,8/25/2025,USA,OUTLET Miami Sawgrass,X,HOME,Home,TEXTILE,TEXTILE,Versace Home,-missing description-,ZCU454501,1A05414,5B040,Black+White,CRETE DE FLEUR,*,2025AI,UNIC,EOS,,FP,,FP HOME Selling on EC & OUTLs
